"Date","Close","RSI rsi (14)","MACD macd (12,26,9)","Signal macd (12,26,9)","macd (12,26,9)_hist"
"1/19/2025","25,065.0000","43.6700","76.4840","91.6845","-15.2005"
"1/26/2025","25,065.0000","43.6700","53.3245","84.0125","-30.6880"
"2/2/2025","25,295.0000","54.1721","52.9195","77.7939","-24.8744"
"2/9/2025","25,375.0000","57.1637","58.3809","73.9113","-15.5304"
"2/16/2025","25,515.0000","61.8563","73.1626","73.7616","-0.5990"
"2/23/2025","25,535.0000","62.4885","85.5053","76.1103","9.3950"
"3/2/2025","25,485.0000","59.8192","90.2126","78.9308","11.2818"
"3/9/2025","25,505.0000","60.5452","94.4679","82.0382","12.4297"
"3/16/2025","25,590.0000","63.5588","103.5060","86.3318","17.1742"
"3/23/2025","25,555.0000","61.4766","106.6155","90.3885","16.2270"
"3/30/2025","25,785.0000","68.7271","126.1843","97.5477","28.6367"
"4/6/2025","25,720.0000","65.0036","134.8928","105.0167","29.8761"
"4/13/2025","25,930.0000","70.5541","156.9306","115.3995","41.5311"
"4/20/2025","26,023.0000","72.6248","179.8271","128.2850","51.5421"
"4/27/2025","25,985.0000","70.4450","192.6854","141.1651","51.5203"
"5/4/2025","25,957.0000","68.8062","198.3300","152.5981","45.7319"
"5/11/2025","25,922.0000","66.7168","197.7002","161.6185","36.0817"
"5/18/2025","25,950.0000","67.5653","197.1874","168.7323","28.4552"
"5/25/2025","26,035.0000","70.0607","201.3192","175.2497","26.0695"
"6/1/2025","26,046.0000","70.3783","203.1395","180.8276","22.3119"
"6/8/2025","26,055.0000","70.6526","202.9687","185.2559","17.7129"
"6/15/2025","26,124.0000","72.7371","206.0261","189.4099","16.6162"
"6/22/2025","26,095.0000","70.4715","203.7603","192.2800","11.4803"
"6/29/2025","26,175.0000","72.9725","206.0447","195.0329","11.0118"
"7/6/2025","26,118.0000","68.5195","200.9394","196.2142","4.7252"
"7/13/2025","26,145.0000","69.4699","196.8035","196.3321","0.4714"
"7/20/2025","26,125.0000","67.8362","189.7249","195.0107","-5.2857"
"7/27/2025","26,195.0000","70.4550","187.6009","193.5287","-5.9278"
"8/3/2025","26,205.0000","70.8205","184.5967","191.7423","-7.1456"
"8/10/2025","26,245.0000","72.2969","183.3301","190.0599","-6.7298"
"8/17/2025","26,305.0000","74.3900","185.0349","189.0549","-4.0200"
"8/24/2025","26,365.0000","76.3171","189.0482","189.0535","-0.0053"
"8/31/2025","26,380.0000","76.7873","191.2347","189.4898","1.7450"
"9/7/2025","26,360.0000","74.6587","189.1731","189.4264","-0.2534"
"9/14/2025","26,360.0000","74.6587","185.4020","188.6215","-3.2196"
"9/21/2025","26,390.0000","75.8246","182.7277","187.4428","-4.7150"
"9/28/2025","26,385.0000","75.2036","178.1513","185.5845","-7.4332"
"10/5/2025","26,315.0000","66.9381","166.9515","181.8579","-14.9064"
"10/12/2025","26,342.0000","68.3816","158.4280","177.1719","-18.7439"
"10/19/2025","26,285.0000","62.2068","145.3976","170.8171","-25.4194"
"10/26/2025","26,227.0000","56.6056","128.9049","162.4346","-33.5297"
"11/2/2025","26,285.0000","60.4415","119.1410","153.7759","-34.6349"
"11/9/2025","26,330.0000","63.1623","113.7233","145.7654","-32.0421"
