"Date","Price","Open","High","Low","Vol.","Change %"
"26/02/2023","0.06533000","0.06552500","0.06567500","0.06522500","","-0.49%"
"19/02/2023","0.06565000","0.06579500","0.06598000","0.06565500","","-0.17%"
"12/02/2023","0.06576000","0.06591500","0.06601500","0.06566500","","-0.45%"
"05/02/2023","0.06606000","0.06664000","0.06664000","0.06599000","","-1.59%"
"29/01/2023","0.06713000","0.06678500","0.06733500","0.06663000","","0.63%"
"22/01/2023","0.06671000","0.06650500","0.06718000","0.06646000","","0.60%"
"15/01/2023","0.06631000","0.06631000","0.06674500","0.06575500","","0.47%"
"08/01/2023","0.06600000","0.06418000","0.06606500","0.06410500","","3.21%"
"01/01/2023","0.06395000","0.06455000","0.06459500","0.06392000","","-0.42%"
"25/12/2022","0.06422000","0.06413000","0.06432500","0.06343000","","0.16%"
"18/12/2022","0.06412000","0.06403500","0.06424000","0.06396000","","0.03%"
"11/12/2022","0.06410000","0.06413000","0.06428000","0.06379500","","-0.11%"
"04/12/2022","0.06417000","0.06503500","0.06510500","0.06392000","","-0.97%"
"27/11/2022","0.06480000","0.06372000","0.06491000","0.06349500","","1.58%"
"20/11/2022","0.06379000","0.06373000","0.06398500","0.06358000","","0.09%"
"13/11/2022","0.06373000","0.06466000","0.06467000","0.06367000","","-1.21%"
"06/11/2022","0.06451000","0.06384000","0.06496000","0.06351000","","1.54%"
"30/10/2022","0.06353000","0.06419000","0.06428500","0.06345000","","-1.17%"
"23/10/2022","0.06428000","0.06420000","0.06444500","0.06391000","","0.52%"
"16/10/2022","0.06395000","0.06465000","0.06473000","0.06395000","","-1.33%"
"09/10/2022","0.06481000","0.06546500","0.06548500","0.06481500","","-1.13%"
"02/10/2022","0.06555000","0.06559000","0.06597500","0.06530000","","-0.15%"
"25/09/2022","0.06565000","0.06639500","0.06639500","0.06544000","","-1.25%"
"18/09/2022","0.06648000","0.06679500","0.06684000","0.06647000","","-0.57%"
"11/09/2022","0.06686000","0.06746000","0.06749500","0.06683000","","-0.83%"
"04/09/2022","0.06742000","0.06717500","0.06748000","0.06694500","","0.46%"
"28/08/2022","0.06711000","0.06727000","0.06742500","0.06707500","","-0.53%"
"21/08/2022","0.06747000","0.06722500","0.06757500","0.06701500","","0.13%"
"14/08/2022","0.06738000","0.06809000","0.06809000","0.06722000","","-1.14%"
"07/08/2022","0.06816000","0.06700500","0.06821000","0.06692500","","1.53%"
"31/07/2022","0.06713000","0.06733500","0.06734500","0.06669500","","-0.40%"
"24/07/2022","0.06740000","0.06666000","0.06742500","0.06655000","","1.25%"
"17/07/2022","0.06657000","0.06677500","0.06688500","0.06649500","","-0.16%"
"10/07/2022","0.06668000","0.06674000","0.06688000","0.06667000","","-0.12%"
"03/07/2022","0.06676000","0.06690500","0.06698500","0.06651500","","-0.25%"
"26/06/2022","0.06693000","0.06752000","0.06762000","0.06678500","","-0.61%"
"19/06/2022","0.06734000","0.06738000","0.06771000","0.06723000","","-0.16%"
"12/06/2022","0.06745000","0.06828000","0.06836000","0.06737500","","-1.82%"
"05/06/2022","0.06870000","0.06917500","0.06920000","0.06854500","","-0.79%"
"29/05/2022","0.06925000","0.06881000","0.06934500","0.06847500","","0.96%"
"22/05/2022","0.06859000","0.06828000","0.06868500","0.06812500","","0.51%"
"15/05/2022","0.06824000","0.06840500","0.06842000","0.06785000","","-0.26%"
"08/05/2022","0.06842000","0.06891500","0.06895000","0.06836000","","99,099.74%"
"01/05/2022","0.00006897","0.00006885","0.00006951","0.00006857","","-99.90%"
"24/04/2022","0.06897000","0.06915000","0.06956500","0.06895000","","-0.96%"
"17/04/2022","0.06964000","0.06960000","0.06978500","0.06959000","","-0.10%"
"10/04/2022","0.06971000","0.06956000","0.06972000","0.06953500","","0.13%"
"03/04/2022","0.06962000","0.06961000","0.06974000","0.06950500","","0.06%"
"27/03/2022","0.06958000","0.06970500","0.06976500","0.06957500","","-0.20%"
"20/03/2022","0.06972000","0.06970500","0.06978000","0.06953500","","0.00%"
"13/03/2022","0.06972000","0.06986500","0.07012000","0.06968500","","-0.26%"
"06/03/2022","0.06990000","0.06937000","0.07012000","0.06934500","","0.59%"
