"Date","Close","RSI rsi (14)","MACD macd (12,26,9)","Signal macd (12,26,9)","macd (12,26,9)_hist"
"1/12/2025","34.3810","49.1380","-0.1459","-0.2968","0.1508"
"1/19/2025","33.5660","40.9685","-0.1927","-0.2759","0.0832"
"1/26/2025","33.5760","41.0979","-0.2264","-0.2660","0.0396"
"2/2/2025","33.8090","44.1688","-0.2316","-0.2591","0.0275"
"2/9/2025","33.6950","42.9879","-0.2421","-0.2557","0.0136"
"2/16/2025","33.5510","41.4793","-0.2591","-0.2564","-0.0027"
"2/23/2025","34.2540","50.5948","-0.2134","-0.2478","0.0344"
"3/2/2025","33.6470","44.1938","-0.2236","-0.2430","0.0194"
"3/9/2025","33.5910","43.6451","-0.2335","-0.2411","0.0076"
"3/16/2025","33.9300","47.8644","-0.2115","-0.2352","0.0237"
"3/23/2025","33.9040","47.5702","-0.1940","-0.2269","0.0330"
"3/30/2025","34.4520","53.9888","-0.1343","-0.2084","0.0741"
"4/6/2025","33.4550","43.5442","-0.1655","-0.1998","0.0343"
"4/13/2025","33.4200","43.2281","-0.1909","-0.1980","0.0071"
"4/20/2025","33.5880","45.2818","-0.1952","-0.1975","0.0022"
"4/27/2025","33.0400","40.1763","-0.2401","-0.2060","-0.0341"
"5/4/2025","32.9220","39.1527","-0.2820","-0.2212","-0.0608"
"5/11/2025","33.4455","45.7559","-0.2698","-0.2309","-0.0388"
"5/18/2025","32.4700","37.5733","-0.3349","-0.2517","-0.0832"
"5/25/2025","32.8250","41.6620","-0.3539","-0.2721","-0.0817"
"6/1/2025","32.7350","40.9301","-0.3719","-0.2921","-0.0798"
"6/8/2025","32.3700","38.0134","-0.4108","-0.3158","-0.0950"
"6/15/2025","32.7860","42.9990","-0.4035","-0.3334","-0.0701"
"6/22/2025","32.5790","41.2223","-0.4097","-0.3486","-0.0610"
"6/29/2025","32.3790","39.5231","-0.4258","-0.3641","-0.0617"
"7/6/2025","32.3710","39.4530","-0.4342","-0.3781","-0.0561"
"7/13/2025","32.3730","39.4819","-0.4357","-0.3896","-0.0461"
"7/20/2025","32.4180","40.1734","-0.4283","-0.3973","-0.0309"
"7/27/2025","32.5260","41.8894","-0.4090","-0.3997","-0.0093"
"8/3/2025","32.3020","39.3672","-0.4071","-0.4012","-0.0059"
"8/10/2025","32.4440","41.7612","-0.3896","-0.3988","0.0092"
"8/17/2025","32.3420","40.5235","-0.3796","-0.3950","0.0154"
"8/24/2025","32.2925","39.9054","-0.3715","-0.3903","0.0188"
"8/31/2025","32.0490","36.9220","-0.3802","-0.3883","0.0081"
"9/7/2025","31.7540","33.6406","-0.4063","-0.3919","-0.0144"
"9/14/2025","31.8340","35.3194","-0.4157","-0.3966","-0.0191"
"9/21/2025","32.2050","42.5748","-0.3887","-0.3951","0.0063"
"9/28/2025","32.3250","44.7343","-0.3536","-0.3868","0.0332"
"10/5/2025","32.6610","50.3627","-0.2953","-0.3685","0.0732"
"10/12/2025","32.7930","52.4131","-0.2357","-0.3419","0.1063"
"10/19/2025","32.6575","50.1242","-0.1971","-0.3129","0.1159"
"10/26/2025","32.3740","45.6339","-0.1872","-0.2878","0.1006"
"11/2/2025","32.3660","45.5100","-0.1780","-0.2658","0.0878"
"11/9/2025","32.4080","46.3338","-0.1654","-0.2458","0.0804"
"11/16/2025","32.4400","46.9913","-0.1511","-0.2268","0.0757"
"11/23/2025","32.1240","41.5742","-0.1634","-0.2141","0.0508"
"11/30/2025","31.8840","37.9919","-0.1903","-0.2094","0.0191"
"12/7/2025","31.5540","33.6930","-0.2355","-0.2146","-0.0209"
"12/14/2025","31.4160","32.0593","-0.2793","-0.2275","-0.0517"
"12/21/2025","31.0150","27.8357","-0.3424","-0.2505","-0.0919"
"12/28/2025","31.4570","37.5949","-0.3526","-0.2709","-0.0817"
"1/4/2026","31.3740","36.5941","-0.3633","-0.2894","-0.0739"
"1/11/2026","31.4750","38.7315","-0.3594","-0.3034","-0.0560"
"1/18/2026","31.0710","33.8204","-0.3845","-0.3196","-0.0649"
"1/25/2026","31.5140","42.4391","-0.3645","-0.3286","-0.0359"
"2/1/2026","31.5350","42.8193","-0.3430","-0.3315","-0.0115"
"2/8/2026","31.0830","37.1344","-0.3582","-0.3368","-0.0214"
"2/15/2026","31.1440","38.3245","-0.3613","-0.3417","-0.0195"
"2/22/2026","31.0645","37.3326","-0.3658","-0.3465","-0.0193"
"3/1/2026","31.8300","50.5927","-0.3042","-0.3381","0.0339"
"3/8/2026","32.4170","57.9417","-0.2056","-0.3116","0.1060"
"3/15/2026","32.8370","62.2665","-0.0925","-0.2678","0.1752"
"3/22/2026","32.8630","62.5234","-0.0008","-0.2144","0.2136"
"3/29/2026","32.6780","59.4232","0.0563","-0.1602","0.2166"
"4/5/2026","32.0450","50.2432","0.0499","-0.1182","0.1681"
"4/12/2026","31.8140","47.3673","0.0259","-0.0894","0.1153"
"4/19/2026","32.3540","53.9963","0.0499","-0.0615","0.1114"
"4/26/2026","32.3800","54.2948","0.0702","-0.0352","0.1054"
"5/3/2026","32.2170","52.0162","0.0723","-0.0137","0.0860"
"5/10/2026","32.6635","57.3022","0.1087","0.0108","0.0979"
"5/17/2026","32.6290","56.7817","0.1333","0.0353","0.0980"
"5/24/2026","32.4850","54.5542","0.1395","0.0561","0.0834"
"5/31/2026","32.7910","58.2980","0.1672","0.0784","0.0889"
"6/7/2026","32.7125","57.0007","0.1808","0.0988","0.0819"
"6/14/2026","32.9280","59.6548","0.2065","0.1204","0.0861"
"6/21/2026","33.3610","64.4085","0.2588","0.1481","0.1108"
"6/28/2026","33.1650","60.9100","0.2813","0.1747","0.1066"
"7/5/2026","33.2650","62.0429","0.3036","0.2005","0.1031"
